gene	cluster
NFE2L1	4
CALCOCO2	4
MMD	4
ICAM2	4
DDX5	4
PSMD12	4
PRKAR1A	4
RPL38	4
TTYH2	4
CASKIN2	4
UBALD2	4
SYNGR2	4
BAIAP2	4
ACTG1	4
P4HB	4
ARHGDIA	4
CSNK1D	4
WDR45B	4
MYL12A	4
MYL12B	4
GRP	4
PMAIP1	4
CYB5A	4
CNDP2	4
SLC52A3	4
SNRPB	4
CENPB	4
DSTN	4
XRN2	4
THBD	4
CD93	4
CST3	4
MYLK2	4
EIF2S2	4
ROMO1	4
SCAND1	4
TGM2	4
SERINC3	4
YWHAB	4
GNAS	4
CTSZ	4
ATP5F1E	4
EDN3	4
PSMA7	4
ADRM1	4
SLCO4A1	4
PPDPF	4
SOX18	4
MIER2	4
GPX4	4
ATP5F1D	4
MIDN	4
RPS15	4
ABHD17A	4
LSM7	4
GADD45B	4
AES	4
EEF2	4
RPL36	4
C19orf70	4
MLLT1	4
CD320	4
RPS28	4
UBL5	4
TRIR	4
JUNB	4
CALR	4
GADD45GIP1	4
IER2	4
C19orf53	4
PKN1	4
FAM32A	4
KLF2	4
BST2	4
ARRDC2	4
